Appellation Complexe:
| Mot                   |   Nombre d'occurrences |
| ONÆTHUS               |                      1 |
| OPHÉLION              |                      1 |
| PA                    |                      1 |
| PAMPHILE              |                      1 |
| PANDÉMIUS             |                      1 |
| PANTIAS               |                      1 |
| PATROCLE              |                      1 |
| PETROS                |                      1 |
| PHI                   |                      1 |
| PHILISCUS             |                      1 |
| PHILON                |                      1 |
| PLOCAMUS              |                      1 |
| PHILONICUS            |                      1 |
| PHILÉAS               |                      1 |
| PHILÉTUS              |                      1 |
| PHRADMON              |                      1 |
| PHYROMAQUE            |                      1 |
| PHiEDIM               |                      1 |
| PISIAS                |                      1 |
| PISTILLUS             |                      1 |
| PISTON                |                      1 |
| PITHANDRE             |                      1 |
| PJEONIUS              |                      1 |
| Hérœum                |                      1 |
| EUTÉLIDAS             |                      1 |
| EUTYCHÈS              |                      1 |
| EUMNESTUS             |                      1 |
| ARISTOMÉDON           |                      1 |
| ARISTON               |                      1 |
| ARISTONIDAS           |                      1 |
| ARISTONUS             |                      1 |
| ARISTOTE              |                      1 |
| ARTEMON               |                      1 |
| ASCARUS               |                      1 |
| ATTALUS               |                      1 |
| ATTICIANUS            |                      1 |
| AULANIUS              |                      1 |
| AULUS                 |                      1 |
| Alcamènes             |                      1 |
| BATHYCLÈS             |                      1 |
| BATTON                |                      1 |
| BROTÉAS               |                      1 |
| BRYAXIS               |                      1 |
| BYZÈS                 |                      1 |
| CALAMIS               |                      1 |
| CALLICLÈS             |                      1 |
| CALLIMAQUE            |                      1 |
| CALLISTONICUS         |                      1 |
| CALLITELÈS            |                      1 |
| CALLON                |                      1 |
| CALYNTHUS             |                      1 |
| CANACH                |                      1 |
| ARISTOMÈDE            |                      1 |
| ARISTOGITON           |                      1 |
| ARISTODÈME            |                      1 |
| AMPHISTRATE           |                      1 |
| AGASIAS               |                      1 |
| AGATHOCLÈS            |                      1 |
| AGORACRITE            |                      1 |
| AGÉLADAS              |                      1 |
| AGÉSANDRE             |                      1 |
| ALCON                 |                      1 |
| ALTIMUS               |                      1 |
| ALYPUS                |                      1 |
| ALÉVAS                |                      1 |
| AMMONIUS              |                      1 |
| AMPHICRATES           |                      1 |
| AMYCLiEUS             |                      1 |
| ARISTOCLËS            |                      1 |
| ANAXAGORE             |                      1 |
| ANAXIMÈNE             |                      1 |
| ANDAAGORAS            |                      1 |
| ANDROBULE             |                      1 |
| ANDRON                |                      1 |
| ANGÉLION              |                      1 |
| ANTIOCHUS             |                      1 |
| ANTÉNOR               |                      1 |
| ARCHIDAMUS            |                      1 |
| ARGUS                 |                      1 |
| ARISTEAS              |                      1 |
| CANTHARE              |                      1 |
| CAPHISIAS             |                      1 |
| CENCHRAMIS            |                      1 |
| DÈS                   |                      1 |
| DIADUMÉNUS            |                      1 |
| DIODOTE               |                      1 |
| DIOGÈNE               |                      1 |
| DIONYSI               |                      1 |
| DIONYSIC              |                      1 |
| DIONYSIUS             |                      1 |
| DONTAS                |                      1 |
| DOROTHÉE              |                      1 |
| DOTE                  |                      1 |
| DyENÈS                |                      1 |
| DÆMON                 |                      1 |
| DÉDALE                |                      1 |
| DAÏPH                 |                      1 |
| DÉMOCRITE             |                      1 |
| DÉMÉTRIUS             |                      1 |
| ENTOCH                |                      1 |
| EPIGONE               |                      1 |
| EPÉUS                 |                      1 |
| ERATON                |                      1 |
| EUBIUS                |                      1 |
| EUBULIDE              |                      1 |
| EUCHIR                |                      1 |
| EUCLIDE               |                      1 |
| EUELPISTLS            |                      1 |
| DEDALE                |                      1 |
| DAMOPHORE             |                      1 |
| CEPHIS                |                      1 |
| CTÉSIAS               |                      1 |
| CHARÈS                |                      1 |
| CHIMARUS              |                      1 |
| CHIONIS               |                      1 |
| CHRYSOTHÉMIS          |                      1 |
| CLÉON                 |                      1 |
| COLOTÈS               |                      1 |
| COPONIUS              |                      1 |
| COSSOTIUS             |                      1 |
| CRATINUS              |                      1 |
| CRITON                |                      1 |
| CRÉSILAS              |                      1 |
| CTÉSICLÈS             |                      1 |
| DAIPPE                |                      1 |
| CÉPHISODORE           |                      1 |
| Némésis               |                      1 |
| Pausariias            |                      1 |
| Venus                 |                      1 |
| centaures             |                      1 |
| désigne               |                      1 |
| exécuter              |                      1 |
| iETlON                |                      1 |
| nfant                 |                      1 |
| tète                  |                      1 |
| DACTYLDÈS             |                      1 |
| SARAMBUS              |                      1 |
| SCYMN                 |                      1 |
| SIM                   |                      1 |
| Antiphile             |                      1 |
| Théon                 |                      1 |
| Timarète              |                      1 |
| Timomaque             |                      1 |
| Turianus              |                      1 |
| beaux                 |                      1 |
| catagraphes           |                      1 |
| devant                |                      1 |
| guerre                |                      1 |
| ongue                 |                      1 |
| que                   |                      1 |
| raisins               |                      1 |
| sacrifice             |                      1 |
| son                   |                      1 |
| tragédien             |                      1 |
| transporta            |                      1 |
| Apollons              |                      1 |
| C'                    |                      1 |
| HéraKiôn              |                      1 |
| antique               |                      1 |
| frontons              |                      1 |
| trouvé                |                      1 |
| Héraklès              |                      1 |
| Képhisos              |                      1 |
| Marsyas               |                      1 |
| Niké                  |                      1 |
| Thamyras              |                      1 |
| Tauriscus             |                      1 |
| Sthephanopolis        |                      1 |
| Léontiscus            |                      1 |
| Aristide              |                      1 |
| Ariston               |                      1 |
| Bularque              |                      1 |
| Calypso               |                      1 |
| Cassandre             |                      1 |
| Cratinus              |                      1 |
| Habron                |                      1 |
| Hippus                |                      1 |
| Irène                 |                      1 |
| Lanuvium              |                      1 |
| Léon                  |                      1 |
| M                     |                      1 |
| Simus                 |                      1 |
| Mère                  |                      1 |
| Néalcès               |                      1 |
| Néarque               |                      1 |
| Némée                 |                      1 |
| Oenias                |                      1 |
| Pausias               |                      1 |
| Phalérion             |                      1 |
| Posis                 |                      1 |
| Scylla                |                      1 |
| Ses                   |                      1 |
| Simonide              |                      1 |
| Parthénos             |                      1 |
| représentaient        |                      1 |
| sculpteur             |                      1 |
| Hercynie              |                      1 |
| figures               |                      1 |
| groupes               |                      1 |
| premier               |                      1 |
| scarabée              |                      1 |
| Aurore                |                      1 |
| Calydon               |                      1 |
| Cet                   |                      1 |
| Cyathus               |                      1 |
| FIGURINES             |                      1 |
| Groupe                |                      1 |
| Hecube                |                      1 |
| Hippolyte             |                      1 |
| Frise                 |                      1 |
| Rhylon                |                      1 |
| Terre                 |                      1 |
| Tirelire              |                      1 |
| figurines             |                      1 |
| Amazonomachie         |                      1 |
| Centauromachie        |                      1 |
| Méduse                |                      1 |
| Acropole              |                      1 |
| peintres              |                      1 |
| uet                   |                      1 |
| Masques               |                      1 |
| Hrdrie                |                      1 |
| F                     |                      1 |
| Olympien              |                      1 |
| Tibère                |                      1 |
| gladiateur            |                      1 |
| prétendu              |                      1 |
| Appiades              |                      1 |
| ADAMAS                |                      1 |
| Bonne                 |                      1 |
| Centaures             |                      1 |
| Hécube                |                      1 |
| I'                    |                      1 |
| Pergame               |                      1 |
| Polycharme            |                      1 |
| Sosus                 |                      1 |
| Vesta                 |                      1 |
| Diomède               |                      1 |
| Zéthus                |                      1 |
| consacrer             |                      1 |
